0 -> 0,47 -> 42,34 -> 30,0 -> 0
0 -> 0,19 -> 17,29 -> 26,0 -> 0
0 -> 0,17 -> 15,36 -> 32,0 -> 0
0 -> 0,22 -> 19,33 -> 29,0 -> 0
0 -> 0,42 -> 37,33 -> 29,3 -> 2
0 -> 0,37 -> 33,32 -> 28,0 -> 0
0 -> 0,42 -> 37,29 -> 26,0 -> 0
0 -> 0,36 -> 32,30 -> 27,0 -> 0
0 -> 0,31 -> 27,28 -> 25,0 -> 0
0 -> 0,31 -> 27,26 -> 23,0 -> 0
23 -> 20,16 -> 14,23 -> 20,0 -> 0
0 -> 0,22 -> 19,23 -> 20,0 -> 0
0 -> 0,25 -> 22,27 -> 24,0 -> 0
0 -> 0,55 -> 49,24 -> 21,0 -> 0
0 -> 0,9 -> 8,0 -> 0,0 -> 0
0 -> 0,2 -> 1,0 -> 0,0 -> 0
0 -> 0,2 -> 1,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,1 -> 0,0 -> 0,0 -> 0
0 -> 0,1 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,1 -> 0
0 -> 0,0 -> 0,0 -> 0,3 -> 2
0 -> 0,0 -> 0,0 -> 0,1 -> 0
0 -> 0,0 -> 0,1 -> 0,2 -> 1
0 -> 0,4 -> 3,4 -> 3,6 -> 5
0 -> 0,11 -> 9,0 -> 0,4 -> 3
0 -> 0,0 -> 0,1 -> 0,0 -> 0
0 -> 0,0 -> 0,1 -> 0,0 -> 0
0 -> 0,0 -> 0,1 -> 0,0 -> 0
0 -> 0,10 -> 9,21 -> 18,0 -> 0
0 -> 0,13 -> 11,27 -> 24,0 -> 0
0 -> 0,11 -> 9,25 -> 22,0 -> 0
0 -> 0,9 -> 8,24 -> 21,0 -> 0
0 -> 0,13 -> 11,26 -> 23,0 -> 0
0 -> 0,14 -> 12,26 -> 23,0 -> 0
0 -> 0,14 -> 12,26 -> 23,0 -> 0
0 -> 0,13 -> 11,26 -> 23,0 -> 0
0 -> 0,13 -> 11,27 -> 24,0 -> 0
0 -> 0,11 -> 9,26 -> 23,0 -> 0
0 -> 0,11 -> 9,26 -> 23,0 -> 0
0 -> 0,13 -> 11,28 -> 25,0 -> 0
0 -> 0,16 -> 14,27 -> 24,0 -> 0
0 -> 0,17 -> 15,27 -> 24,0 -> 0
0 -> 0,17 -> 15,27 -> 24,0 -> 0
0 -> 0,15 -> 13,25 -> 22,0 -> 0
0 -> 0,14 -> 12,24 -> 21,0 -> 0
0 -> 0,11 -> 9,12 -> 10,0 -> 0
0 -> 0,2 -> 1,5 -> 4,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
31 -> 27,6 -> 5,21 -> 18,0 -> 0
0 -> 0,6 -> 5,23 -> 20,0 -> 0
0 -> 0,6 -> 5,23 -> 20,0 -> 0
0 -> 0,6 -> 5,25 -> 22,0 -> 0
0 -> 0,5 -> 4,24 -> 21,0 -> 0
0 -> 0,5 -> 4,22 -> 19,0 -> 0
0 -> 0,5 -> 4,23 -> 20,0 -> 0
0 -> 0,6 -> 5,24 -> 21,0 -> 0
0 -> 0,6 -> 5,27 -> 24,0 -> 0
0 -> 0,9 -> 8,27 -> 24,0 -> 0
0 -> 0,11 -> 9,23 -> 20,0 -> 0
0 -> 0,10 -> 9,24 -> 21,0 -> 0
0 -> 0,11 -> 9,24 -> 21,0 -> 0
0 -> 0,12 -> 10,24 -> 21,0 -> 0
0 -> 0,0 -> 0,24 -> 21,0 -> 0
0 -> 0,3 -> 2,9 -> 8,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,2 -> 1,0 -> 0,0 -> 0
0 -> 0,4 -> 3,0 -> 0,0 -> 0
0 -> 0,4 -> 3,0 -> 0,0 -> 0
0 -> 0,4 -> 3,0 -> 0,0 -> 0
0 -> 0,4 -> 3,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,1 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0
0 -> 0,0 -> 0,0 -> 0,0 -> 0